% 1. Title: Video Game Genre Popularity and Success Analysis
%
% 2. Sources:
%      (a) Creator: Aingeru García
%      (b) Date: December 31, 2023
%      (c) Description: Analysis of video game genres' popularity and success over various years.
%      (d) Code and documentation: https://github.com/geru-scotland/videogames-dataset-analysis
%
% 3. Attribute Information:
%      (a) genre: Nominal. The genre of the video game (e.g., Action, RPG, Racing).
%      (b) year: Numeric. The year of the video games' release.
%      (c) average_rating: Numeric. The average user rating for games of a specific genre in a given year.
%      (d) game_count: Numeric. The number of games released in a particular genre during a specific year.
%      (e) genre_successful: Nominal. Indicator of success, 1 if the average rating is above 3.2, 0 otherwise.
%
% 4. Data Description:
%      This dataset contains information about various video game genres, their average ratings, and counts per year.
%      The genre_successful attribute is a derived metric indicating whether a genre can be considered successful
%      in a particular year based on the average rating threshold of 3.2.
%      There are 462 instances.
%
@RELATION video_games

@ATTRIBUTE genre {Action, Adventure, Arcade, Board-Games, Card, Casual, Educational, Family, Fighting, Indie, Massively-Multiplayer, Platformer, Puzzle, RPG, Racing, Shooter, Simulation, Sports, Strategy}
@ATTRIBUTE year NUMERIC
@ATTRIBUTE average_rating NUMERIC
@ATTRIBUTE game_count NUMERIC
@ATTRIBUTE genre_successful {0, 1}


@DATA
Platformer,2000,3.43,1,1
Platformer,2001,3.94,2,1
Platformer,2003,3.6466666666666665,3,1
Platformer,2005,3.335,2,1
Platformer,2006,3.23,1,1
Platformer,2007,4.38,1,1
Platformer,2008,3.975,2,1
Platformer,2009,3.375,2,1
Platformer,2010,3.722,10,1
Platformer,2011,3.398461538461538,13,1
Platformer,2012,3.231176470588235,17,1
Platformer,2013,3.556666666666666,21,1
Platformer,2014,3.479375,16,1
Platformer,2015,3.9166666666666665,6,1
Platformer,2016,3.6438461538461535,13,1
Platformer,2017,3.844615384615385,13,1
Platformer,2018,3.8333333333333335,12,1
Platformer,2019,3.991666666666667,6,1
Platformer,2020,3.79375,8,1
Platformer,2021,4.0925,4,1
Platformer,2022,3.82,3,1
Puzzle,1993,1.9,1,0
Puzzle,1995,2.82,2,0
Puzzle,1998,4.055,2,1
Puzzle,1999,4.04,2,1
Puzzle,2001,3.47,1,1
Puzzle,2002,3.26,2,1
Puzzle,2003,1.91,1,0
Puzzle,2004,3.915,2,1
Puzzle,2005,2.56,1,0
Puzzle,2006,3.23,1,1
Puzzle,2007,4.2,4,1
Puzzle,2008,3.425,8,1
Puzzle,2009,3.527,10,1
Puzzle,2010,3.34375,8,1
Puzzle,2011,3.056923076923077,13,0
Puzzle,2012,3.367,20,1
Puzzle,2013,3.3976190476190475,21,1
Puzzle,2014,3.328888888888889,18,1
Puzzle,2015,3.5913636363636368,22,1
Puzzle,2016,3.5477272727272724,22,1
Puzzle,2017,3.592222222222222,18,1
Puzzle,2018,3.63625,16,1
Puzzle,2019,3.8981818181818175,11,1
Puzzle,2020,3.6544444444444446,9,1
Puzzle,2022,3.856666666666667,3,1
RPG,1984,1.77,1,0
RPG,1985,2.21,1,0
RPG,1988,2.65,1,0
RPG,1990,2.6,2,0
RPG,1991,2.44,2,0
RPG,1993,2.93,1,0
RPG,1994,3.45,4,1
RPG,1995,4.34,1,1
RPG,1996,4.04,3,1
RPG,1997,4.295,2,1
RPG,1998,4.369999999999999,2,1
RPG,1999,3.504,5,1
RPG,2000,3.972,5,1
RPG,2001,3.79,5,1
